implement,problem,colpack,indirect,optimize,setup,reverse,onepass,correct,n,m,nnz,sec
adolc,dficfj,true,false,false,true,true,true,true,320,320,2467,0.0362544328
adolc,dficfj,true,false,false,true,false,true,true,320,320,2467,0.0342404953
adolc,dficfj,true,false,false,false,true,true,true,320,320,2467,0.0037952222
adolc,dficfj,true,false,false,false,false,true,true,320,320,2467,0.0020877331
adolc,dierfj,true,false,false,true,true,true,true,303,303,3160,0.0320510438
adolc,dierfj,true,false,false,true,false,true,true,303,303,3160,0.0242993220
adolc,dierfj,true,false,false,false,true,true,true,303,303,3160,0.0098918386
adolc,dierfj,true,false,false,false,false,true,true,303,303,3160,0.0015644226
adolc,deptfg,true,true,false,true,false,false,true,36,1,121,0.0101005508
adolc,deptfg,true,false,false,true,false,false,true,36,1,121,0.0101330780
adolc,deptfg,true,true,false,false,false,false,true,36,1,121,0.0025819675
adolc,deptfg,true,false,false,false,false,false,true,36,1,121,0.0021732802
adolc,dgl1fg,true,true,false,true,false,false,true,500,1,1000,0.2091108195
adolc,dgl1fg,true,false,false,true,false,false,true,500,1,1000,0.2083714904
adolc,dgl1fg,true,true,false,false,false,false,true,500,1,1000,0.0224769286
adolc,dgl1fg,true,false,false,false,false,false,true,500,1,1000,0.0173750502
cppad,dficfj,true,false,true,true,true,false,true,320,320,2467,0.0242157787
cppad,dficfj,false,false,true,true,true,false,true,320,320,2467,0.0216108765
cppad,dficfj,true,false,false,true,true,false,true,320,320,2467,0.0183066172
cppad,dficfj,false,false,false,true,true,false,true,320,320,2467,0.0154165254
cppad,dficfj,true,false,true,true,false,true,true,320,320,2467,0.0173638117
cppad,dficfj,false,false,true,true,false,true,true,320,320,2467,0.0143090601
cppad,dficfj,true,false,false,true,false,true,true,320,320,2467,0.0111251207
cppad,dficfj,false,false,false,true,false,true,true,320,320,2467,0.0081105622
cppad,dficfj,true,false,true,true,false,false,true,320,320,2467,0.0195141439
cppad,dficfj,false,false,true,true,false,false,true,320,320,2467,0.0174199217
cppad,dficfj,true,false,false,true,false,false,true,320,320,2467,0.0135856458
cppad,dficfj,false,false,false,true,false,false,true,320,320,2467,0.0112766268
cppad,dficfj,true,false,true,false,true,false,true,320,320,2467,0.0084342245
cppad,dficfj,false,false,true,false,true,false,true,320,320,2467,0.0086122008
cppad,dficfj,true,false,false,false,true,false,true,320,320,2467,0.0083867566
cppad,dficfj,false,false,false,false,true,false,true,320,320,2467,0.0083356455
cppad,dficfj,true,false,true,false,false,true,true,320,320,2467,0.0012411004
cppad,dficfj,false,false,true,false,false,true,true,320,320,2467,0.0012343315
cppad,dficfj,true,false,false,false,false,true,true,320,320,2467,0.0012343127
cppad,dficfj,false,false,false,false,false,true,true,320,320,2467,0.0012436778
cppad,dficfj,true,false,true,false,false,false,true,320,320,2467,0.0039702031
cppad,dficfj,false,false,true,false,false,false,true,320,320,2467,0.0040132214
cppad,dficfj,true,false,false,false,false,false,true,320,320,2467,0.0039874526
cppad,dficfj,false,false,false,false,false,false,true,320,320,2467,0.0042783146
cppad,dierfj,true,false,true,true,true,false,true,303,303,3160,0.0613069347
cppad,dierfj,false,false,true,true,true,false,true,303,303,3160,0.0497010449
cppad,dierfj,true,false,false,true,true,false,true,303,303,3160,0.0443828478
cppad,dierfj,false,false,false,true,true,false,true,303,303,3160,0.0429858644
cppad,dierfj,true,false,true,true,false,true,true,303,303,3160,0.0142673267
cppad,dierfj,false,false,true,true,false,true,true,303,303,3160,0.0085028966
cppad,dierfj,true,false,false,true,false,true,true,303,303,3160,0.0106988246
cppad,dierfj,false,false,false,true,false,true,true,303,303,3160,0.0057303621
cppad,dierfj,true,false,true,true,false,false,true,303,303,3160,0.0157218768
cppad,dierfj,false,false,true,true,false,false,true,303,303,3160,0.0110724970
cppad,dierfj,true,false,false,true,false,false,true,303,303,3160,0.0135008042
cppad,dierfj,false,false,false,true,false,false,true,303,303,3160,0.0088019214
cppad,dierfj,true,false,true,false,true,false,true,303,303,3160,0.0435499385
cppad,dierfj,false,false,true,false,true,false,true,303,303,3160,0.0378156616
cppad,dierfj,true,false,false,false,true,false,true,303,303,3160,0.0339761988
cppad,dierfj,false,false,false,false,true,false,true,303,303,3160,0.0376375601
cppad,dierfj,true,false,true,false,false,true,true,303,303,3160,0.0011595820
cppad,dierfj,false,false,true,false,false,true,true,303,303,3160,0.0013338260
cppad,dierfj,true,false,false,false,false,true,true,303,303,3160,0.0011106804
cppad,dierfj,false,false,false,false,false,true,true,303,303,3160,0.0011870789
cppad,dierfj,true,false,true,false,false,false,true,303,303,3160,0.0040120503
cppad,dierfj,false,false,true,false,false,false,true,303,303,3160,0.0039682816
cppad,dierfj,true,false,false,false,false,false,true,303,303,3160,0.0040978655
cppad,dierfj,false,false,false,false,false,false,true,303,303,3160,0.0038100369
cppad,deptfg,true,false,true,true,true,false,true,36,1,96,0.0028169403
cppad,deptfg,false,false,true,true,true,false,true,36,1,96,0.0027705735
cppad,deptfg,true,false,false,true,true,false,true,36,1,96,0.0024055919
cppad,deptfg,false,false,false,true,true,false,true,36,1,96,0.0021588681
cppad,deptfg,true,false,true,true,false,false,true,36,1,96,0.0029710230
cppad,deptfg,false,false,true,true,false,false,true,36,1,96,0.0024655997
cppad,deptfg,true,false,false,true,false,false,true,36,1,96,0.0024265833
cppad,deptfg,false,false,false,true,false,false,true,36,1,96,0.0022202284
cppad,deptfg,true,false,true,false,true,false,true,36,1,96,0.0006848232
cppad,deptfg,false,false,true,false,true,false,true,36,1,96,0.0006643518
cppad,deptfg,true,false,false,false,true,false,true,36,1,96,0.0009529538
cppad,deptfg,false,false,false,false,true,false,true,36,1,96,0.0009330521
cppad,deptfg,true,false,true,false,false,false,true,36,1,96,0.0006605384
cppad,deptfg,false,false,true,false,false,false,true,36,1,96,0.0011683955
cppad,deptfg,true,false,false,false,false,false,true,36,1,96,0.0011225605
cppad,deptfg,false,false,false,false,false,false,true,36,1,96,0.0008900671
cppad,dgl1fg,true,false,true,true,true,false,true,500,1,1000,0.0335375126
cppad,dgl1fg,false,false,true,true,true,false,true,500,1,1000,0.0416691454
cppad,dgl1fg,true,false,false,true,true,false,true,500,1,1000,0.0306579173
cppad,dgl1fg,false,false,false,true,true,false,true,500,1,1000,0.0394103412
cppad,dgl1fg,true,false,true,true,false,false,true,500,1,1000,0.0344616436
cppad,dgl1fg,false,false,true,true,false,false,true,500,1,1000,0.0419604613
cppad,dgl1fg,true,false,false,true,false,false,true,500,1,1000,0.0303865595
cppad,dgl1fg,false,false,false,true,false,false,true,500,1,1000,0.0405300432
cppad,dgl1fg,true,false,true,false,true,false,true,500,1,1000,0.0058217649
cppad,dgl1fg,false,false,true,false,true,false,true,500,1,1000,0.0073044707
cppad,dgl1fg,true,false,false,false,true,false,true,500,1,1000,0.0085457685
cppad,dgl1fg,false,false,false,false,true,false,true,500,1,1000,0.0107314424
cppad,dgl1fg,true,false,true,false,false,false,true,500,1,1000,0.0056082054
cppad,dgl1fg,false,false,true,false,false,false,true,500,1,1000,0.0073331371
cppad,dgl1fg,true,false,false,false,false,false,true,500,1,1000,0.0084575270
cppad,dgl1fg,false,false,false,false,false,false,true,500,1,1000,0.0110175269
subgraph,dficfj,false,false,true,true,true,false,true,320,320,2467,0.0200530374
subgraph,dficfj,false,false,false,true,true,false,true,320,320,2467,0.0130346373
subgraph,dficfj,false,false,true,false,true,false,true,320,320,2467,0.0070994303
subgraph,dficfj,false,false,false,false,true,false,true,320,320,2467,0.0069856442
subgraph,dierfj,false,false,true,true,true,false,true,303,303,3160,0.0110544126
subgraph,dierfj,false,false,false,true,true,false,true,303,303,3160,0.0083928531
subgraph,dierfj,false,false,true,false,true,false,true,303,303,3160,0.0047185131
subgraph,dierfj,false,false,false,false,true,false,true,303,303,3160,0.0047712873
subgraph,deptfg,false,false,true,true,true,false,true,36,1,96,0.0027167478
subgraph,deptfg,false,false,false,true,true,false,true,36,1,96,0.0026509438
subgraph,deptfg,false,false,true,false,true,false,true,36,1,96,0.0005485349
subgraph,deptfg,false,false,false,false,true,false,true,36,1,96,0.0012010117
subgraph,dgl1fg,false,false,true,true,true,false,true,500,1,1000,0.0426036123
subgraph,dgl1fg,false,false,false,true,true,false,true,500,1,1000,0.0447502959
subgraph,dgl1fg,false,false,true,false,true,false,true,500,1,1000,0.0122280384
subgraph,dgl1fg,false,false,false,false,true,false,true,500,1,1000,0.0231312968
adolc,dficfj,true,false,false,true,true,true,false,3200,3200,24787,0.3178607215
adolc,dficfj,true,false,false,true,false,true,false,3200,3200,24787,0.2867207755
adolc,dficfj,true,false,false,false,true,true,false,3200,3200,24787,0.0283302520
adolc,dficfj,true,false,false,false,false,true,false,3200,3200,24787,0.0145433392
adolc,dierfj,true,false,false,true,true,true,false,3003,3003,31600,1.5152313890
adolc,dierfj,true,false,false,true,false,true,false,3003,3003,31600,0.1900249393
adolc,dierfj,true,false,false,false,true,true,false,3003,3003,31600,1.1022830040
adolc,dierfj,true,false,false,false,false,true,false,3003,3003,31600,0.0137563670
adolc,deptfg,true,true,false,true,false,false,false,3600,1,14161,1.2309343120
adolc,deptfg,true,false,false,true,false,false,false,3600,1,14161,1.1433649470
adolc,deptfg,true,true,false,false,false,false,false,3600,1,14161,0.2453129989
adolc,deptfg,true,false,false,false,false,false,false,3600,1,14161,0.2009404419
adolc,dgl1fg,true,true,false,true,false,false,false,5000,1,10000,2.3725204110
adolc,dgl1fg,true,false,false,true,false,false,false,5000,1,10000,2.1356776990
adolc,dgl1fg,true,true,false,false,false,false,false,5000,1,10000,0.2343392924
adolc,dgl1fg,true,false,false,false,false,false,false,5000,1,10000,0.1850113276
cppad,dficfj,true,false,true,true,true,false,false,3200,3200,24787,0.2832924795
cppad,dficfj,false,false,true,true,true,false,false,3200,3200,24787,0.2540482700
cppad,dficfj,true,false,false,true,true,false,false,3200,3200,24787,0.1641871730
cppad,dficfj,false,false,false,true,true,false,false,3200,3200,24787,0.1446404761
cppad,dficfj,true,false,true,true,false,true,false,3200,3200,24787,0.2074797435
cppad,dficfj,false,false,true,true,false,true,false,3200,3200,24787,0.1746091496
cppad,dficfj,true,false,false,true,false,true,false,3200,3200,24787,0.0915812009
cppad,dficfj,false,false,false,true,false,true,false,3200,3200,24787,0.0767804970
cppad,dficfj,true,false,true,true,false,false,false,3200,3200,24787,0.2267889254
cppad,dficfj,false,false,true,true,false,false,false,3200,3200,24787,0.1928560279
cppad,dficfj,true,false,false,true,false,false,false,3200,3200,24787,0.1229192067
cppad,dficfj,false,false,false,true,false,false,false,3200,3200,24787,0.1007020678
cppad,dficfj,true,false,true,false,true,false,false,3200,3200,24787,0.0855584241
cppad,dficfj,false,false,true,false,true,false,false,3200,3200,24787,0.0846230800
cppad,dficfj,true,false,false,false,true,false,false,3200,3200,24787,0.0836833949
cppad,dficfj,false,false,false,false,true,false,false,3200,3200,24787,0.0850490401
cppad,dficfj,true,false,true,false,false,true,false,3200,3200,24787,0.0154020831
cppad,dficfj,false,false,true,false,false,true,false,3200,3200,24787,0.0164424887
cppad,dficfj,true,false,false,false,false,true,false,3200,3200,24787,0.0168837823
cppad,dficfj,false,false,false,false,false,true,false,3200,3200,24787,0.0160751064
cppad,dficfj,true,false,true,false,false,false,false,3200,3200,24787,0.0392229447
cppad,dficfj,false,false,true,false,false,false,false,3200,3200,24787,0.0435297689
cppad,dficfj,true,false,false,false,false,false,false,3200,3200,24787,0.0379816687
cppad,dficfj,false,false,false,false,false,false,false,3200,3200,24787,0.0417129113
cppad,dierfj,true,false,true,true,true,false,false,3003,3003,31600,3.7138792620
cppad,dierfj,false,false,true,true,true,false,false,3003,3003,31600,3.5923423180
cppad,dierfj,true,false,false,true,true,false,false,3003,3003,31600,3.6270870940
cppad,dierfj,false,false,false,true,true,false,false,3003,3003,31600,3.4979654910
cppad,dierfj,true,false,true,true,false,true,false,3003,3003,31600,0.1335197396
cppad,dierfj,false,false,true,true,false,true,false,3003,3003,31600,0.2723943165
cppad,dierfj,true,false,false,true,false,true,false,3003,3003,31600,0.1835521107
cppad,dierfj,false,false,false,true,false,true,false,3003,3003,31600,0.0987895175
cppad,dierfj,true,false,true,true,false,false,false,3003,3003,31600,0.2197080995
cppad,dierfj,false,false,true,true,false,false,false,3003,3003,31600,0.1755995033
cppad,dierfj,true,false,false,true,false,false,false,3003,3003,31600,0.1874982978
cppad,dierfj,false,false,false,true,false,false,false,3003,3003,31600,0.1277488725
cppad,dierfj,true,false,true,false,true,false,false,3003,3003,31600,4.2752308580
cppad,dierfj,false,false,true,false,true,false,false,3003,3003,31600,5.1382577610
