KB,implement,problem,colpack,indirect,optimize,setup,reverse,onepass,correct,n,m,nnz,sec
13852,adolc,dficfj,true,false,false,true,true,true,false,3200,3200,24787,0.0305817245
10021,adolc,dficfj,true,false,false,true,false,true,false,3200,3200,24787,0.0286844766
15253,adolc,dficfj,true,false,false,false,true,true,false,3200,3200,24787,0.0058607369
12108,adolc,dficfj,true,false,false,false,false,true,false,3200,3200,24787,0.0032477066
13751,adolc,dierfj,true,false,false,true,true,true,false,3003,3003,31600,0.1467235265
8866,adolc,dierfj,true,false,false,true,false,true,false,3003,3003,31600,0.0188081313
16033,adolc,dierfj,true,false,false,false,true,true,false,3003,3003,31600,0.1170893399
10115,adolc,dierfj,true,false,false,false,false,true,false,3003,3003,31600,0.0022737267
13628,adolc,deptfg,true,true,false,true,false,false,false,3600,1,14161,0.0806790627
12562,adolc,deptfg,true,false,false,true,false,false,false,3600,1,14161,0.1036298042
15059,adolc,deptfg,true,true,false,false,false,false,false,3600,1,14161,0.0380517321
15337,adolc,deptfg,true,false,false,false,false,false,false,3600,1,14161,0.0546430438
19104,adolc,dgl1fg,true,true,false,true,false,false,false,5000,1,10000,0.1887303456
19431,adolc,dgl1fg,true,false,false,true,false,false,false,5000,1,10000,0.1919428309
16776,adolc,dgl1fg,true,true,false,false,false,false,false,5000,1,10000,0.0440601129
16700,adolc,dgl1fg,true,false,false,false,false,false,false,5000,1,10000,0.0483903688
10969,cppad,dficfj,true,false,true,true,true,false,false,3200,3200,24787,0.0818284787
11642,cppad,dficfj,false,false,true,true,true,false,false,3200,3200,24787,0.0802751046
12591,cppad,dficfj,true,false,false,true,true,false,false,3200,3200,24787,0.0417811697
12996,cppad,dficfj,false,false,false,true,true,false,false,3200,3200,24787,0.0400588181
16869,cppad,dficfj,true,false,true,true,false,true,false,3200,3200,24787,0.0571383705
16328,cppad,dficfj,false,false,true,true,false,true,false,3200,3200,24787,0.0638687280
19930,cppad,dficfj,true,false,false,true,false,true,false,3200,3200,24787,0.0146495302
17486,cppad,dficfj,false,false,false,true,false,true,false,3200,3200,24787,0.0150575038
11624,cppad,dficfj,true,false,true,true,false,false,false,3200,3200,24787,0.0702247549
11958,cppad,dficfj,false,false,true,true,false,false,false,3200,3200,24787,0.0741931891
13189,cppad,dficfj,true,false,false,true,false,false,false,3200,3200,24787,0.0249630625
13467,cppad,dficfj,false,false,false,true,false,false,false,3200,3200,24787,0.0267014885
12327,cppad,dficfj,true,false,true,false,true,false,false,3200,3200,24787,0.0273776640
12321,cppad,dficfj,false,false,true,false,true,false,false,3200,3200,24787,0.0257121042
12427,cppad,dficfj,true,false,false,false,true,false,false,3200,3200,24787,0.0279469915
12442,cppad,dficfj,false,false,false,false,true,false,false,3200,3200,24787,0.0255938903
21524,cppad,dficfj,true,false,true,false,false,true,false,3200,3200,24787,0.0043334588
20931,cppad,dficfj,false,false,true,false,false,true,false,3200,3200,24787,0.0041155669
21618,cppad,dficfj,true,false,false,false,false,true,false,3200,3200,24787,0.0039597841
21698,cppad,dficfj,false,false,false,false,false,true,false,3200,3200,24787,0.0040055319
