KB,implement,problem,colpack,indirect,optimize,setup,reverse,onepass,correct,n,m,nnz,sec
13513,adolc,dficfj,true,false,false,true,true,true,false,3200,3200,24787,0.0319840679
10021,adolc,dficfj,true,false,false,true,false,true,false,3200,3200,24787,0.0300741679
15253,adolc,dficfj,true,false,false,false,true,true,false,3200,3200,24787,0.0059984145
12108,adolc,dficfj,true,false,false,false,false,true,false,3200,3200,24787,0.0032744749
14047,adolc,dierfj,true,false,false,true,true,true,false,3003,3003,31600,0.1387642299
8866,adolc,dierfj,true,false,false,true,false,true,false,3003,3003,31600,0.0188873112
16033,adolc,dierfj,true,false,false,false,true,true,false,3003,3003,31600,0.1093889697
10115,adolc,dierfj,true,false,false,false,false,true,false,3003,3003,31600,0.0021866898
13628,adolc,deptfg,true,true,false,true,false,false,false,3600,1,14161,0.0821834615
12562,adolc,deptfg,true,false,false,true,false,false,false,3600,1,14161,0.0951552932
15059,adolc,deptfg,true,true,false,false,false,false,false,3600,1,14161,0.0377229764
15337,adolc,deptfg,true,false,false,false,false,false,false,3600,1,14161,0.0540055176
19068,adolc,dgl1fg,true,true,false,true,false,false,false,5000,1,10000,0.1839293036
19436,adolc,dgl1fg,true,false,false,true,false,false,false,5000,1,10000,0.1898339035
16776,adolc,dgl1fg,true,true,false,false,false,false,false,5000,1,10000,0.0451792352
16982,adolc,dgl1fg,true,false,false,false,false,false,false,5000,1,10000,0.0480153431
10969,cppad,dficfj,true,false,true,true,true,false,false,3200,3200,24787,0.0823633521
11582,cppad,dficfj,false,false,true,true,true,false,false,3200,3200,24787,0.0824509222
12591,cppad,dficfj,true,false,false,true,true,false,false,3200,3200,24787,0.0388880132
12996,cppad,dficfj,false,false,false,true,true,false,false,3200,3200,24787,0.0386102699
16869,cppad,dficfj,true,false,true,true,false,true,false,3200,3200,24787,0.0559458982
16328,cppad,dficfj,false,false,true,true,false,true,false,3200,3200,24787,0.0569791458
19930,cppad,dficfj,true,false,false,true,false,true,false,3200,3200,24787,0.0145266147
17486,cppad,dficfj,false,false,false,true,false,true,false,3200,3200,24787,0.0143100633
11624,cppad,dficfj,true,false,true,true,false,false,false,3200,3200,24787,0.0696817786
11958,cppad,dficfj,false,false,true,true,false,false,false,3200,3200,24787,0.0680787007
13189,cppad,dficfj,true,false,false,true,false,false,false,3200,3200,24787,0.0251468574
13467,cppad,dficfj,false,false,false,true,false,false,false,3200,3200,24787,0.0263737686
12327,cppad,dficfj,true,false,true,false,true,false,false,3200,3200,24787,0.0262614323
12321,cppad,dficfj,false,false,true,false,true,false,false,3200,3200,24787,0.0259437351
12427,cppad,dficfj,true,false,false,false,true,false,false,3200,3200,24787,0.0262070280
12442,cppad,dficfj,false,false,false,false,true,false,false,3200,3200,24787,0.0260705556
19762,cppad,dficfj,true,false,true,false,false,true,false,3200,3200,24787,0.0039404964
21738,cppad,dficfj,false,false,true,false,false,true,false,3200,3200,24787,0.0042562703
21618,cppad,dficfj,true,false,false,false,false,true,false,3200,3200,24787,0.0040110058
21822,cppad,dficfj,false,false,false,false,false,true,false,3200,3200,24787,0.0040074971
12617,cppad,dficfj,true,false,true,false,false,false,false,3200,3200,24787,0.0135615546
12595,cppad,dficfj,false,false,true,false,false,false,false,3200,3200,24787,0.0157136025
12732,cppad,dficfj,true,false,false,false,false,false,false,3200,3200,24787,0.0135810054
12799,cppad,dficfj,false,false,false,false,false,false,false,3200,3200,24787,0.0135753087
8916,cppad,dierfj,true,false,true,true,true,false,false,3003,3003,31600,1.0857402310
8376,cppad,dierfj,false,false,true,true,true,false,false,3003,3003,31600,1.0746865230
8880,cppad,dierfj,true,false,false,true,true,false,false,3003,3003,31600,1.0637860870
8572,cppad,dierfj,false,false,false,true,true,false,false,3003,3003,31600,1.0674031040
12480,cppad,dierfj,true,false,true,true,false,true,false,3003,3003,31600,0.0229485728
11261,cppad,dierfj,false,false,true,true,false,true,false,3003,3003,31600,0.0201226744
10901,cppad,dierfj,true,false,false,true,false,true,false,3003,3003,31600,0.0135886098
11851,cppad,dierfj,false,false,false,true,false,true,false,3003,3003,31600,0.0112054241
7810,cppad,dierfj,true,false,true,true,false,false,false,3003,3003,31600,0.0332243816
7687,cppad,dierfj,false,false,true,true,false,false,false,3003,3003,31600,0.0295398415
8498,cppad,dierfj,true,false,false,true,false,false,false,3003,3003,31600,0.0245864998
9104,cppad,dierfj,false,false,false,true,false,false,false,3003,3003,31600,0.0222970487
8421,cppad,dierfj,true,false,true,false,true,false,false,3003,3003,31600,1.0178934630
8138,cppad,dierfj,false,false,true,false,true,false,false,3003,3003,31600,1.0383245470
8488,cppad,dierfj,true,false,false,false,true,false,false,3003,3003,31600,1.0117980400
7998,cppad,dierfj,false,false,false,false,true,false,false,3003,3003,31600,1.0243121150
14416,cppad,dierfj,true,false,true,false,false,true,false,3003,3003,31600,0.0024378428
18191,cppad,dierfj,false,false,true,false,false,true,false,3003,3003,31600,0.0025178190
17220,cppad,dierfj,true,false,false,false,false,true,false,3003,3003,31600,0.0024656771
17428,cppad,dierfj,false,false,false,false,false,true,false,3003,3003,31600,0.0025214446
7863,cppad,dierfj,true,false,true,false,false,false,false,3003,3003,31600,0.0115420845
7888,cppad,dierfj,false,false,true,false,false,false,false,3003,3003,31600,0.0113418267
7863,cppad,dierfj,true,false,false,false,false,false,false,3003,3003,31600,0.0112640786
7924,cppad,dierfj,false,false,false,false,false,false,false,3003,3003,31600,0.0112708064
63660,cppad,deptfg,true,false,true,true,true,false,false,3600,1,10680,0.5579175460
56290,cppad,deptfg,false,false,true,true,true,false,false,3600,1,10680,0.8130454520
63138,cppad,deptfg,true,false,false,true,true,false,false,3600,1,10680,0.5530416180
41532,cppad,deptfg,false,false,false,true,true,false,false,3600,1,10680,0.8193723235
65611,cppad,deptfg,true,false,true,true,false,false,false,3600,1,10680,0.5521124270
56577,cppad,deptfg,false,false,true,true,false,false,false,3600,1,10680,0.8225255015
41326,cppad,deptfg,true,false,false,true,false,false,false,3600,1,10680,0.5601092925
44313,cppad,deptfg,false,false,false,true,false,false,false,3600,1,10680,0.8402648015
23628,cppad,deptfg,true,false,true,false,true,false,false,3600,1,10680,0.0182446236
34514,cppad,deptfg,false,false,true,false,true,false,false,3600,1,10680,0.0299678619
40394,cppad,deptfg,true,false,false,false,true,false,false,3600,1,10680,0.0239525749
34923,cppad,deptfg,false,false,false,false,true,false,false,3600,1,10680,0.0391805359
33550,cppad,deptfg,true,false,true,false,false,false,false,3600,1,10680,0.0180309047
34718,cppad,deptfg,false,false,true,false,false,false,false,3600,1,10680,0.0295462671
42606,cppad,deptfg,true,false,false,false,false,false,false,3600,1,10680,0.0237678905
37465,cppad,deptfg,false,false,false,false,false,false,false,3600,1,10680,0.0392015238
20513,cppad,dgl1fg,true,false,true,true,true,false,false,5000,1,10000,0.2992281672
15281,cppad,dgl1fg,false,false,true,true,true,false,false,5000,1,10000,0.6290798665
35009,cppad,dgl1fg,true,false,false,true,true,false,false,5000,1,10000,0.2539495582
18045,cppad,dgl1fg,false,false,false,true,true,false,false,5000,1,10000,0.6036856250
16988,cppad,dgl1fg,true,false,true,true,false,false,false,5000,1,10000,0.2873602535
17160,cppad,dgl1fg,false,false,true,true,false,false,false,5000,1,10000,0.6101470565
24653,cppad,dgl1fg,true,false,false,true,false,false,false,5000,1,10000,0.2501866430
14066,cppad,dgl1fg,false,false,false,true,false,false,false,5000,1,10000,0.5879538250
12565,cppad,dgl1fg,true,false,true,false,true,false,false,5000,1,10000,0.0162343600
12355,cppad,dgl1fg,false,false,true,false,true,false,false,5000,1,10000,0.0208092477
17177,cppad,dgl1fg,true,false,false,false,true,false,false,5000,1,10000,0.0228271223
15520,cppad,dgl1fg,false,false,false,false,true,false,false,5000,1,10000,0.0294849857
11594,cppad,dgl1fg,true,false,true,false,false,false,false,5000,1,10000,0.0158448141
11742,cppad,dgl1fg,false,false,true,false,false,false,false,5000,1,10000,0.0207957202
16897,cppad,dgl1fg,true,false,false,false,false,false,false,5000,1,10000,0.0232645199
12452,cppad,dgl1fg,false,false,false,false,false,false,false,5000,1,10000,0.0297625558
10003,subgraph,dficfj,false,false,true,true,true,false,false,3200,3200,24787,0.0671065585
8898,subgraph,dficfj,false,false,false,true,true,false,false,3200,3200,24787,0.0249766821
8728,subgraph,dficfj,false,false,true,false,true,false,false,3200,3200,24787,0.0147399126
8793,subgraph,dficfj,false,false,false,false,true,false,false,3200,3200,24787,0.0147718021
5643,subgraph,dierfj,false,false,true,true,true,false,false,3003,3003,31600,0.0237453381
5036,subgraph,dierfj,false,false,false,true,true,false,false,3003,3003,31600,0.0149647777
5154,subgraph,dierfj,false,false,true,false,true,false,false,3003,3003,31600,0.0090361162
